Date,^GSPC,^GDAXI,^N225,^BVSP,^NSEI,^HSI,VIX
2010-01-04,1132.989990234375,6048.2998046875,10654.7900390625,70045.0,5232.2001953125,21823.279296875,20.040000915527344
2010-01-05,1136.52001953125,6031.85986328125,10681.830078125,70240.0,5277.89990234375,22279.580078125,19.350000381469727
2010-01-06,1137.1400146484375,6034.330078125,10731.4501953125,70729.0,5281.7998046875,22416.669921875,19.15999984741211
2010-01-07,1141.68994140625,6019.35986328125,10681.66015625,70451.0,5263.10009765625,22269.44921875,19.059999465942383
2010-01-08,1144.97998046875,6037.60986328125,10798.3203125,70263.0,5244.75,22296.75,18.1299991607666
2010-01-11,1146.97998046875,6040.5,,70433.0,5249.39990234375,22411.51953125,17.549999237060547
2010-01-12,1136.219970703125,5943.0,10879.1396484375,70076.0,5210.39990234375,22326.640625,18.25
2010-01-13,1145.6800537109375,5963.14013671875,10735.0302734375,70385.0,5233.9501953125,21748.599609375,17.850000381469727
2010-01-14,1148.4599609375,5988.8798828125,10907.6796875,69801.0,5259.89990234375,21716.94921875,17.6299991607666
2010-01-15,1136.030029296875,5875.97021484375,10982.099609375,68978.0,5252.2001953125,21654.16015625,17.90999984741211
2010-01-18,,5918.5498046875,10855.080078125,69401.0,5274.85009765625,21460.009765625,
2010-01-19,1150.22998046875,5976.47998046875,10764.900390625,69909.0,5225.64990234375,21677.98046875,17.579999923706055
2010-01-20,1138.0400390625,5851.52978515625,10737.51953125,68200.0,5221.7001953125,21286.169921875,18.68000030517578
2010-01-21,1116.47998046875,5746.97021484375,10868.41015625,66270.0,5094.14990234375,20862.669921875,22.270000457763672
2010-01-22,1091.760009765625,5695.31982421875,10590.5498046875,66220.0,5036.0,20726.1796875,27.309999465942383
2010-01-25,1096.780029296875,5631.3701171875,10512.6904296875,,5007.89990234375,20598.55078125,25.40999984741211
2010-01-26,1092.1700439453125,5668.93017578125,10325.2802734375,65524.0,,20109.330078125,24.549999237060547
2010-01-27,1097.5,5643.2001953125,10252.080078125,65070.0,4853.10009765625,20033.0703125,23.139999389648438
2010-01-28,1084.530029296875,5540.330078125,10414.2900390625,65588.0,4867.25,20356.369140625,23.729999542236328
2010-01-29,1073.8699951171875,5608.7900390625,10198.0400390625,65402.0,4882.0498046875,20121.990234375,24.6200008392334
2010-02-01,1089.18994140625,5654.47998046875,10205.01953125,66572.0,4899.7001953125,20243.75,22.59000015258789
2010-02-02,1103.3199462890625,5709.66015625,10371.08984375,67163.0,4830.10009765625,20272.1796875,21.479999542236328
2010-02-03,1097.280029296875,5672.08984375,10404.330078125,67109.0,4931.85009765625,20722.080078125,21.600000381469727
2010-02-04,1063.1099853515625,5533.240234375,10355.98046875,63934.0,4845.35009765625,20341.640625,26.079999923706055
2010-02-05,1066.18994140625,5434.33984375,10057.08984375,62763.0,4718.64990234375,19665.080078125,26.110000610351562
2010-02-08,1056.739990234375,5484.85009765625,9951.8203125,63153.0,4760.39990234375,19550.890625,26.510000228881836
2010-02-09,1070.52001953125,5498.259765625,9932.900390625,64718.0,4792.64990234375,19790.279296875,26.0
2010-02-10,1068.1300048828125,5536.3701171875,9963.990234375,65051.0,4757.2001953125,19922.220703125,25.399999618530273
2010-02-11,1078.469970703125,5503.93017578125,,66129.0,4826.85009765625,20290.689453125,23.959999084472656
2010-02-12,1075.510009765625,5500.39013671875,10092.1904296875,65855.0,,20268.689453125,22.729999542236328
2010-02-15,,5511.10009765625,10013.2998046875,,4801.9501953125,,
2010-02-16,1094.8699951171875,5592.1201171875,10034.25,,4855.75,,22.25
2010-02-17,1099.510009765625,5648.33984375,10306.830078125,67285.0,4914.0,20534.009765625,21.719999313354492
2010-02-18,1106.75,5680.41015625,10335.6904296875,67836.0,4887.75,20422.150390625,20.6299991607666
2010-02-19,1109.1700439453125,5722.0498046875,10123.580078125,67597.0,4844.89990234375,19894.01953125,20.020000457763672
2010-02-22,1108.010009765625,5688.43994140625,10400.4697265625,67184.0,4856.39990234375,20377.26953125,19.940000534057617
2010-02-23,1094.5999755859375,5604.06982421875,10352.099609375,66108.0,4870.0498046875,20623.0,21.3700008392334
2010-02-24,1105.239990234375,5615.509765625,10198.830078125,65795.0,4858.60009765625,20467.740234375,20.270000457763672
2010-02-25,1102.93994140625,5532.330078125,10101.9599609375,66121.0,4859.75,20399.5703125,20.100000381469727
2010-02-26,1104.489990234375,5598.4599609375,10126.0302734375,66503.0,4922.2998046875,20608.69921875,19.5
2010-03-01,1115.7099609375,5713.509765625,10172.0595703125,67228.0,,21056.9296875,19.260000228881836
2010-03-02,1118.31005859375,5776.56005859375,10221.83984375,67779.0,5017.0,20906.109375,19.059999465942383
2010-03-03,1118.7900390625,5817.8798828125,10253.1396484375,67641.0,5088.10009765625,20876.7890625,18.829999923706055
2010-03-04,1122.969970703125,5795.31982421875,10145.7197265625,67815.0,5080.25,20575.779296875,18.719999313354492
2010-03-05,1138.699951171875,5877.35986328125,10368.9599609375,68847.0,5088.7001953125,20787.970703125,17.420000076293945
2010-03-08,1138.5,5875.91015625,10585.919921875,68575.0,5124.0,21196.869140625,17.790000915527344
2010-03-09,1140.449951171875,5885.89013671875,10567.650390625,69576.0,5101.5,21207.55078125,17.920000076293945
2010-03-10,1145.6099853515625,5936.72021484375,10563.919921875,69979.0,5116.25,21208.2890625,18.56999969482422
2010-03-11,1150.239990234375,5928.6298828125,10664.9501953125,69885.0,5133.39990234375,21228.19921875,18.059999465942383
2010-03-12,1149.989990234375,5945.10986328125,10751.259765625,69341.0,5137.0,21209.740234375,17.579999923706055
2010-03-15,1150.510009765625,5903.56005859375,10751.98046875,69024.0,5128.89990234375,21079.099609375,18.0
2010-03-16,1159.4599609375,5970.990234375,10721.7099609375,69942.0,5198.10009765625,21022.9296875,17.690000534057617
2010-03-17,1166.2099609375,6024.27978515625,10846.98046875,69723.0,5231.89990234375,21384.490234375,16.90999984741211
2010-03-18,1165.8299560546875,6012.31005859375,10744.0302734375,69697.0,5245.89990234375,21330.669921875,16.6200008392334
2010-03-19,1159.9000244140625,5982.43017578125,10824.7197265625,68829.0,5262.7998046875,21370.8203125,16.969999313354492
2010-03-22,1165.81005859375,5987.5,,69042.0,5205.2001953125,20933.25,16.8700008392334
2010-03-23,1174.1700439453125,6017.27001953125,10774.150390625,69387.0,5225.2998046875,20987.779296875,16.350000381469727
2010-03-24,1167.719970703125,6039.0,10815.0302734375,68913.0,,21008.619140625,17.549999237060547
2010-03-25,1165.72998046875,6132.9501953125,10828.849609375,68442.0,5260.39990234375,20778.55078125,18.399999618530273
2010-03-26,1166.5899658203125,6120.0498046875,10996.3701171875,68683.0,5282.0,21053.109375,17.770000457763672
2010-03-29,1173.219970703125,6156.85009765625,10986.4697265625,69939.0,5302.85009765625,21237.4296875,17.59000015258789
2010-03-30,1173.27001953125,6142.4501953125,11097.1396484375,69960.0,5262.4501953125,21374.7890625,17.1299991607666
2010-03-31,1169.4300537109375,6153.5498046875,11089.9404296875,70372.0,5249.10009765625,21239.349609375,17.59000015258789
2010-04-01,1178.0999755859375,6235.56005859375,11244.400390625,71136.0,5290.5,21537.0,17.469999313354492
2010-04-02,,,11286.08984375,,,,
2010-04-05,1187.43994140625,,11339.2998046875,71290.0,5368.39990234375,,17.020000457763672
